time,ax,ay,az,atotal
0.000,-0.21,0.03,0.03,0.21
0.010,-0.32,0.04,-0.16,0.36
0.020,-0.25,0.01,-0.15,0.29
0.030,0.04,0.00,-0.05,0.06
0.040,0.17,0.06,-0.10,0.20
0.050,0.17,0.14,-0.11,0.25
0.060,0.09,0.17,-0.12,0.23
0.070,0.02,0.17,-0.13,0.21
0.080,-0.06,0.14,-0.12,0.19
0.090,-0.17,0.09,-0.09,0.21
0.100,-0.20,0.07,-0.05,0.22
0.110,-0.19,0.03,-0.01,0.19
0.120,-0.16,0.00,0.04,0.17
0.130,-0.15,-0.01,0.12,0.19
0.140,-0.11,-0.02,0.16,0.19
0.150,-0.04,-0.08,0.19,0.21
0.160,-0.01,-0.11,0.16,0.19
0.170,-0.11,-0.07,0.14,0.19
0.180,-0.19,-0.03,0.12,0.23
0.190,-0.27,-0.03,0.13,0.30
0.200,-0.30,-0.09,0.10,0.33
0.210,-0.25,-0.20,0.11,0.33
0.220,-0.18,-0.23,0.07,0.30
0.230,-0.16,-0.26,0.04,0.31
0.240,-0.15,-0.26,0.00,0.30
0.250,-0.09,-0.12,-0.08,0.17
0.260,-0.02,-0.08,-0.05,0.10
0.270,0.07,-0.12,0.03,0.14
0.280,0.13,-0.12,0.05,0.18
0.291,0.11,-0.15,0.04,0.19
0.300,-0.03,-0.18,-0.01,0.19
0.310,-0.15,-0.18,-0.13,0.27
0.320,-0.13,-0.16,-0.20,0.28
0.330,0.03,-0.04,-0.22,0.23
0.340,0.00,0.19,-0.26,0.32
0.350,-0.19,0.50,-0.33,0.63
0.360,0.03,0.47,-0.21,0.52
0.371,0.13,0.22,-0.20,0.33
0.380,0.12,0.12,-0.25,0.30
0.391,0.15,0.03,-0.17,0.23
0.400,-0.01,-0.09,-0.02,0.10
0.410,-0.20,-0.23,-0.01,0.30
0.420,-0.27,-0.44,-0.01,0.52
0.430,-0.23,-0.56,-0.03,0.61
0.440,-0.18,-0.58,0.01,0.61
0.450,-0.20,-0.45,0.08,0.50
0.460,-0.28,-0.36,0.15,0.48
0.471,-0.27,-0.37,0.17,0.49
0.481,-0.20,-0.40,0.16,0.47
0.491,-0.16,-0.42,0.14,0.47
0.500,-0.21,-0.42,0.12,0.49
0.511,-0.20,-0.45,0.09,0.50
0.521,-0.14,-0.46,0.11,0.49
0.531,-0.07,-0.40,0.24,0.48
0.541,-0.11,-0.39,0.33,0.52
0.551,-0.14,-0.42,0.34,0.56
0.560,-0.21,-0.47,0.35,0.62
0.571,-0.28,-0.47,0.34,0.64
0.581,-0.28,-0.46,0.31,0.62
0.591,-0.23,-0.46,0.32,0.61
0.600,-0.21,-0.46,0.29,0.59
0.611,-0.32,-0.38,0.23,0.55
0.621,-0.40,-0.29,0.14,0.51
0.631,-0.45,-0.21,0.07,0.50
0.641,-0.41,-0.17,0.10,0.46
0.651,-0.32,-0.15,0.17,0.40
0.661,-0.27,-0.18,0.26,0.41
0.671,-0.33,-0.21,0.27,0.48
0.681,-0.44,-0.17,0.15,0.49
0.691,-0.50,-0.05,0.03,0.50
0.701,-0.43,0.11,-0.03,0.45
0.711,-0.33,0.23,0.15,0.42
0.721,-0.13,0.09,0.40,0.43
0.731,0.07,-0.22,0.48,0.54
0.741,0.10,-0.36,0.49,0.62
0.751,-0.19,-0.38,0.47,0.64
0.761,-0.52,-0.27,0.47,0.75
0.771,-0.66,-0.25,0.47,0.85
0.781,-0.69,-0.25,0.36,0.81
0.791,-0.67,-0.18,0.23,0.73
0.801,-0.65,-0.12,0.14,0.68
0.811,-0.70,-0.07,-0.01,0.70
0.821,-0.65,-0.01,-0.20,0.68
0.831,-0.58,0.05,-0.12,0.60
0.841,-0.64,-0.02,0.08,0.64
0.851,-0.66,-0.18,0.18,0.71
0.861,-0.68,-0.26,0.39,0.82
0.871,-0.83,-0.33,0.48,1.01
0.881,-0.98,-0.30,0.40,1.11
0.891,-1.06,-0.27,0.39,1.17
0.901,-1.10,-0.25,0.32,1.18
0.911,-1.13,-0.16,0.16,1.16
0.921,-1.27,-0.09,0.02,1.27
0.931,-1.42,-0.08,0.05,1.42
0.941,-1.61,-0.21,-0.05,1.63
0.951,-1.79,-0.29,0.12,1.81
0.961,-1.83,-0.37,0.74,2.01
0.971,-1.58,-0.56,1.13,2.02
0.981,-0.96,-0.73,1.18,1.69
0.991,-0.30,-0.84,1.43,1.69
1.001,0.24,-0.77,1.42,1.63
1.011,0.59,-0.66,1.06,1.38
1.021,0.51,-0.44,0.53,0.86
1.031,-0.21,-0.07,-0.07,0.23
1.041,-1.34,0.23,-0.12,1.37
1.051,-2.19,0.29,-0.10,2.21
1.061,-2.43,0.23,0.18,2.45
1.071,-2.22,-0.11,0.54,2.28
1.081,-1.52,-0.64,0.55,1.74
1.091,-0.55,-0.77,0.42,1.03
1.101,-0.01,-0.66,0.09,0.67
1.111,-0.18,-0.43,-0.04,0.47
1.121,-0.80,-0.27,0.02,0.85
1.131,-1.32,-0.22,0.09,1.35
1.141,-1.44,-0.20,0.26,1.48
1.151,-1.17,-0.46,0.38,1.32
1.161,-0.94,-0.90,0.74,1.50
1.171,-0.42,-1.10,0.73,1.38
1.181,0.08,-1.13,0.53,1.25
1.191,0.22,-0.94,0.43,1.06
1.201,0.09,-0.71,0.66,0.98
1.211,-0.12,-0.59,0.91,1.09
1.221,-0.34,-0.66,0.83,1.12
1.231,-0.51,-0.71,0.67,1.10
1.241,-0.59,-0.60,0.47,0.96
1.251,-0.54,-0.58,0.30,0.84
1.261,-0.49,-0.58,-0.05,0.77
1.271,-0.49,-0.32,-0.04,0.59
1.281,-0.62,-0.07,0.28,0.68
1.291,-0.58,-0.21,0.01,0.62
1.301,-0.58,-0.49,-0.54,0.93
1.311,-0.80,-0.37,-0.68,1.11
1.321,-0.82,0.13,-0.66,1.06
1.331,-0.56,0.40,-0.94,1.16
1.341,-0.42,0.50,-1.49,1.63
1.351,-0.64,0.72,-1.55,1.83
1.361,-0.61,1.08,-1.51,1.95
1.371,-0.41,1.42,-1.50,2.11
1.381,-0.21,1.57,-1.58,2.23
1.391,0.07,1.49,-1.47,2.09
1.401,0.64,1.45,-0.97,1.86
1.411,1.45,1.47,-0.44,2.12
1.421,2.45,1.52,-0.01,2.88
1.431,3.46,1.70,0.51,3.89
1.441,4.62,1.89,0.87,5.07
1.451,5.29,2.03,1.03,5.76
1.461,4.95,1.41,1.29,5.31
1.471,4.17,0.56,1.42,4.44
1.481,3.14,-0.12,1.35,3.42
1.491,1.97,-0.75,1.19,2.42
1.501,1.11,-0.94,1.19,1.88
1.511,0.29,-0.97,1.06,1.47
1.521,-0.30,-1.07,0.94,1.46
1.531,-0.33,-0.85,0.98,1.34
1.541,-0.16,-0.55,1.01,1.16
1.551,-0.06,-0.25,1.01,1.04
1.561,-0.15,-0.03,0.91,0.92
1.571,-0.35,0.11,0.77,0.86
1.581,-0.54,0.22,0.66,0.88
1.591,-0.76,0.27,0.54,0.97
1.601,-0.86,0.23,0.55,1.05
1.611,-0.87,0.05,0.44,0.97
1.621,-0.88,-0.12,0.29,0.94
1.631,-1.01,-0.13,0.19,1.04
1.641,-1.22,0.01,0.18,1.24
1.651,-1.40,0.15,0.14,1.42
1.661,-1.46,0.35,-0.01,1.51
1.671,-1.53,0.49,-0.13,1.61
1.681,-1.58,0.60,-0.24,1.71
1.691,-1.56,0.79,-0.31,1.78
1.701,-1.63,0.86,-0.25,1.86
1.712,-1.67,0.89,-0.30,1.91
1.722,-1.79,1.00,-0.45,2.10
1.732,-1.98,1.18,-0.61,2.39
1.742,-2.18,1.33,-0.97,2.73
1.752,-2.43,1.41,-1.05,3.00
1.762,-2.98,1.23,-0.90,3.35
1.772,-3.50,0.81,-0.75,3.67
1.782,-3.84,0.33,-0.75,3.92
1.792,-3.86,-0.09,-0.84,3.95
1.802,-3.58,-0.45,-0.74,3.68
1.812,-3.12,-0.68,-0.49,3.23
