time,ax,ay,az,atotal
0.000,0.16,-0.00,-0.02,0.16
0.010,0.22,-0.06,0.06,0.23
0.020,0.21,-0.04,0.16,0.26
0.030,0.13,-0.02,0.30,0.33
0.040,0.03,-0.02,0.42,0.42
0.050,-0.04,-0.00,0.45,0.46
0.060,-0.08,-0.05,0.09,0.13
0.070,-0.16,0.07,-0.56,0.58
0.080,-0.24,0.19,-0.55,0.63
0.090,-0.28,0.20,-0.26,0.43
0.100,-0.28,0.13,-0.11,0.32
0.110,-0.30,0.00,0.01,0.30
0.120,-0.66,-0.29,0.29,0.78
0.130,-0.03,0.20,0.68,0.71
0.140,0.35,0.31,0.70,0.84
0.150,0.05,0.28,-0.15,0.32
0.160,-0.06,0.19,-0.00,0.20
0.170,0.00,0.12,0.16,0.20
0.180,0.14,0.15,0.11,0.23
0.190,0.14,0.17,-0.22,0.31
0.200,-0.17,0.11,-0.35,0.40
0.210,-0.54,0.08,0.10,0.56
0.220,-0.70,0.08,-0.20,0.74
0.230,-0.76,0.07,-0.71,1.04
0.240,-0.83,0.07,-0.29,0.88
0.250,-0.75,-0.01,-0.09,0.75
0.260,-0.51,-0.03,0.03,0.51
0.270,-0.31,-0.02,0.24,0.39
0.280,-0.27,-0.04,0.41,0.49
0.290,-0.35,-0.09,0.43,0.56
0.300,-0.54,-0.12,0.39,0.67
0.310,-0.66,-0.05,0.34,0.75
0.320,-0.61,-0.03,0.37,0.71
0.330,-0.25,-0.00,0.22,0.34
0.340,0.38,0.46,-0.35,0.69
0.350,0.96,0.73,-0.45,1.29
0.360,1.04,0.37,-0.70,1.31
0.370,1.29,0.15,-0.22,1.31
0.380,1.35,-0.14,0.30,1.39
0.390,0.66,-0.30,0.28,0.78
0.400,-0.28,-0.21,0.19,0.39
0.410,-0.88,-0.12,0.22,0.91
0.420,-0.97,-0.10,0.35,1.04
0.430,-0.64,-0.11,0.41,0.77
0.440,-0.11,-0.13,0.34,0.38
0.450,0.19,-0.07,0.38,0.43
0.460,0.11,0.04,0.32,0.34
0.470,0.01,0.13,-0.08,0.15
0.480,0.00,0.05,-0.32,0.32
0.490,-0.11,-0.23,-0.19,0.32
0.501,-0.21,-0.20,-0.20,0.35
0.510,-0.12,-0.27,-0.25,0.39
0.520,-0.14,-0.38,-0.27,0.48
0.530,-0.08,-0.18,-0.29,0.35
0.540,0.20,0.00,-0.46,0.50
0.550,0.59,0.02,-0.62,0.86
0.560,0.90,-0.15,-0.58,1.08
0.570,0.98,-0.26,-0.29,1.05
