time,ax,ay,az,atotal
0.000,0.10,0.04,0.05,0.11
0.010,0.26,-0.27,0.24,0.45
0.020,0.28,-0.31,0.22,0.47
0.030,0.34,-0.24,0.10,0.43
0.040,0.32,-0.16,0.13,0.38
0.050,0.22,-0.09,0.09,0.25
0.060,0.17,-0.01,0.03,0.17
0.070,-0.06,0.10,0.04,0.13
0.080,-0.03,0.16,0.02,0.17
0.090,-0.30,0.17,0.13,0.36
0.100,-1.89,0.39,0.49,1.99
0.110,-1.22,0.03,-0.42,1.29
0.120,-0.11,-0.38,-0.55,0.68
0.130,0.47,-0.58,0.04,0.74
0.140,0.95,-0.50,0.46,1.17
0.150,1.24,-0.28,0.46,1.35
0.160,1.18,-0.14,0.28,1.22
0.170,0.87,-0.10,0.23,0.90
0.180,0.50,-0.19,0.04,0.54
0.190,0.12,-0.35,-0.12,0.39
0.200,-0.34,-0.65,-0.36,0.82
0.210,-0.66,-0.71,-0.50,1.09
0.220,-1.00,-0.63,-0.34,1.22
0.230,-1.24,-0.43,-0.12,1.32
0.240,-1.28,-0.13,0.08,1.29
0.250,-1.00,0.20,0.11,1.02
0.260,-0.34,0.40,0.01,0.53
0.270,0.55,0.39,-0.06,0.68
0.280,1.25,0.34,-0.07,1.30
0.290,1.43,0.25,-0.10,1.46
0.300,0.93,0.15,-0.08,0.95
0.310,0.34,0.13,-0.08,0.37
0.320,0.12,0.19,-0.17,0.28
0.330,0.26,0.34,-0.25,0.49
0.340,0.54,0.47,0.08,0.72
0.350,0.65,0.55,0.57,1.02
0.360,0.52,0.56,0.76,1.08
0.370,0.28,0.46,0.56,0.78
0.380,0.11,0.30,0.33,0.46
0.390,0.17,0.17,0.21,0.32
0.400,0.29,-0.00,0.08,0.30
0.410,0.32,-0.12,0.14,0.37
0.420,0.14,-0.19,0.17,0.29
0.430,-0.26,-0.22,0.05,0.35
0.440,-0.75,-0.28,-0.16,0.82
0.450,-1.17,-0.33,-0.28,1.25
0.460,-1.45,-0.25,-0.18,1.48
0.470,-1.56,-0.11,0.13,1.57
0.481,-1.35,-0.02,0.43,1.42
0.490,-0.92,-0.03,0.31,0.97
0.500,-0.53,-0.15,-0.20,0.58
0.510,-0.46,-0.34,-0.62,0.84
0.521,-0.52,-0.51,-0.71,1.02
0.530,-0.51,-0.60,-0.71,1.06
0.541,-0.33,-0.55,-0.34,0.72
0.551,-0.06,-0.37,0.25,0.45
0.561,0.23,-0.14,0.50,0.56
0.571,0.41,0.12,0.45,0.62
0.581,0.46,0.39,0.30,0.67
0.591,0.33,0.56,0.01,0.65
0.601,0.14,0.66,-0.22,0.70
0.611,0.06,0.69,-0.20,0.72
0.621,0.05,0.58,-0.00,0.58
0.631,0.17,0.35,0.17,0.42
0.641,0.30,0.12,0.13,0.35
0.651,0.18,-0.07,-0.18,0.26
0.661,-0.19,-0.16,-0.61,0.66
0.671,-0.72,-0.21,-0.85,1.13
0.681,-1.18,-0.35,-0.84,1.49
0.691,-1.38,-0.50,-0.74,1.64
0.701,-1.27,-0.64,-0.53,1.52
0.711,-1.00,-0.67,-0.53,1.32
0.721,-0.67,-0.54,-0.67,1.09
0.731,-0.22,-0.26,-0.68,0.76
0.741,0.22,0.08,-0.31,0.39
0.751,0.58,0.31,0.23,0.70
0.761,0.88,0.45,0.68,1.20
0.771,1.04,0.46,0.88,1.44
0.781,1.04,0.36,0.82,1.37
0.791,0.89,0.25,0.72,1.17
0.801,0.71,0.10,0.65,0.97
0.811,0.53,-0.06,0.60,0.80
0.821,0.35,-0.26,0.51,0.67
0.831,0.16,-0.42,0.29,0.54
0.841,0.06,-0.50,-0.11,0.52
0.851,0.07,-0.41,-0.33,0.53
0.861,0.08,-0.32,-0.17,0.38
0.871,-0.02,-0.41,0.03,0.41
0.881,-0.14,-0.58,0.08,0.60
0.891,-0.21,-0.73,0.10,0.77
0.901,-0.21,-0.73,0.21,0.79
0.911,-0.11,-0.54,0.30,0.63
0.921,0.21,-0.29,0.44,0.57
0.931,0.69,-0.18,0.68,0.98
0.941,1.07,-0.22,0.80,1.35
0.951,1.13,-0.27,0.52,1.28
0.961,0.78,-0.24,-0.03,0.82
0.971,0.03,-0.00,-0.42,0.42
0.981,-0.65,0.39,-0.53,0.92
0.991,-1.01,0.80,-0.37,1.34
1.001,-1.01,1.07,-0.07,1.47
1.011,-0.76,1.11,0.13,1.35
1.021,-0.49,1.02,-0.03,1.14
