time,ax,ay,az,atotal
0.000,0.01,0.02,-0.08,0.09
0.010,0.10,-0.07,-0.12,0.17
0.020,-0.04,0.00,-0.15,0.15
0.030,-0.18,0.16,-0.24,0.34
0.040,-0.18,0.06,-0.30,0.35
0.050,-0.15,0.04,-0.18,0.24
0.060,-0.22,0.21,-0.05,0.31
0.070,-0.14,0.18,-0.11,0.25
0.080,-0.01,0.10,-0.16,0.19
0.090,0.05,0.09,-0.18,0.20
0.100,0.03,0.10,-0.15,0.19
0.110,-0.01,0.10,-0.16,0.18
0.120,-0.10,0.12,-0.16,0.22
0.130,-0.12,0.12,-0.16,0.23
0.140,-0.14,0.14,-0.17,0.26
0.150,-0.17,0.14,-0.14,0.26
0.160,-0.13,0.08,-0.11,0.19
0.170,-0.08,0.02,-0.11,0.14
0.180,-0.06,-0.00,-0.15,0.16
0.190,-0.04,-0.02,-0.13,0.13
0.200,-0.05,-0.02,-0.10,0.11
0.210,-0.06,-0.05,-0.11,0.14
0.220,-0.05,-0.05,-0.10,0.12
0.230,-0.02,-0.05,-0.11,0.12
0.240,-0.01,-0.02,-0.14,0.15
0.250,-0.05,0.04,-0.12,0.14
0.260,-0.11,0.05,-0.10,0.16
0.270,-0.11,-0.09,-0.10,0.17
0.280,-0.10,-0.12,-0.11,0.20
0.290,-0.18,-0.03,-0.12,0.22
0.300,-0.23,-0.08,-0.04,0.24
0.310,-0.14,-0.26,-0.02,0.30
0.320,-0.06,-0.27,-0.05,0.28
0.330,-0.09,-0.18,-0.05,0.20
0.340,-0.07,-0.13,-0.01,0.15
0.350,-0.08,-0.06,-0.03,0.10
0.360,-0.10,-0.06,-0.02,0.12
0.370,-0.09,-0.19,0.01,0.21
0.380,-0.11,-0.21,-0.02,0.24
0.390,-0.15,-0.18,0.02,0.24
0.400,-0.20,-0.21,0.02,0.29
0.410,-0.19,-0.22,-0.00,0.29
0.420,-0.11,-0.25,-0.01,0.27
0.430,-0.03,-0.28,-0.00,0.28
0.440,0.05,-0.27,-0.01,0.27
0.450,0.11,-0.24,-0.02,0.27
0.460,0.12,-0.19,-0.05,0.23
0.470,0.06,-0.13,-0.09,0.17
0.480,-0.02,-0.07,-0.12,0.14
0.490,-0.12,-0.02,-0.18,0.22
0.500,-0.16,0.03,-0.23,0.28
0.510,-0.17,0.03,-0.30,0.35
0.520,-0.13,0.05,-0.38,0.40
0.530,-0.05,0.11,-0.47,0.48
0.540,0.01,0.20,-0.55,0.58
0.550,0.09,0.26,-0.56,0.63
0.560,0.11,0.35,-0.53,0.64
0.570,0.12,0.41,-0.53,0.68
0.580,0.12,0.40,-0.55,0.69
0.590,0.13,0.38,-0.54,0.67
0.600,0.13,0.39,-0.47,0.62
0.611,0.07,0.42,-0.38,0.57
0.621,-0.00,0.41,-0.30,0.51
0.631,-0.14,0.40,-0.17,0.46
0.641,-0.26,0.35,-0.03,0.44
0.651,-0.34,0.23,0.15,0.44
0.661,-0.38,0.09,0.26,0.47
0.671,-0.35,-0.05,0.37,0.52
0.681,-0.23,-0.13,0.48,0.55
0.691,-0.09,-0.20,0.59,0.63
0.700,-0.02,-0.30,0.71,0.77
0.711,0.01,-0.43,0.80,0.91
0.721,0.07,-0.56,0.78,0.96
0.731,0.15,-0.71,0.70,1.01
0.741,0.23,-0.84,0.71,1.12
0.751,0.27,-0.93,0.71,1.20
0.761,0.25,-1.00,0.72,1.26
