time,ax,ay,az,atotal
0.000,-0.02,0.10,0.10,0.14
0.010,-0.01,0.09,0.04,0.10
0.020,0.01,0.03,-0.09,0.09
0.030,0.02,0.01,-0.06,0.06
0.040,0.02,0.04,0.03,0.05
0.050,-0.04,0.03,0.00,0.05
0.060,-0.10,0.00,-0.02,0.11
0.070,-0.14,0.00,-0.05,0.15
0.080,-0.13,-0.03,-0.04,0.14
0.090,-0.17,0.01,-0.02,0.17
0.100,-0.18,0.06,0.02,0.19
0.110,-0.17,0.05,0.04,0.18
0.120,-0.15,0.03,0.05,0.16
0.130,-0.12,0.00,0.06,0.14
0.140,-0.12,0.03,0.02,0.13
0.150,-0.16,0.01,0.07,0.17
0.160,-0.20,0.04,0.11,0.23
0.170,-0.18,0.06,0.07,0.20
0.180,-0.14,0.04,0.04,0.15
0.190,-0.12,0.05,-0.00,0.13
0.200,-0.10,0.07,-0.03,0.12
0.210,-0.07,0.06,-0.02,0.10
0.220,-0.08,0.11,0.07,0.15
0.230,-0.07,0.13,0.14,0.20
0.240,-0.08,0.12,0.16,0.22
0.250,-0.08,0.10,0.15,0.19
0.260,-0.10,0.09,0.12,0.18
0.270,-0.15,0.09,0.06,0.19
0.280,-0.18,0.11,0.07,0.23
0.290,-0.20,0.13,0.11,0.27
0.300,-0.18,0.12,0.08,0.23
0.310,-0.12,0.10,0.06,0.16
0.320,-0.10,0.13,0.11,0.20
0.330,-0.11,0.16,0.12,0.23
0.340,-0.08,0.15,0.06,0.18
0.350,-0.08,0.12,0.06,0.16
0.360,-0.13,0.13,0.04,0.19
0.370,-0.06,0.08,0.07,0.12
0.380,-0.11,0.05,0.05,0.13
0.390,-0.17,0.04,-0.05,0.18
0.400,-0.17,0.02,-0.05,0.18
0.410,-0.14,0.02,-0.04,0.15
0.420,-0.11,0.03,-0.02,0.12
0.430,-0.15,0.04,0.00,0.16
0.440,-0.18,0.11,0.05,0.22
0.450,-0.16,0.11,0.03,0.20
0.460,-0.14,0.12,-0.06,0.19
0.470,-0.18,0.09,-0.07,0.22
0.480,-0.15,0.08,-0.17,0.24
0.490,-0.10,0.04,-0.17,0.20
0.500,-0.07,0.02,-0.12,0.14
0.510,-0.04,0.03,-0.08,0.09
0.520,-0.07,0.09,-0.00,0.11
0.530,-0.04,0.11,0.14,0.18
0.540,-0.07,0.12,0.15,0.20
0.550,-0.01,0.11,0.09,0.15
0.560,-0.03,0.09,0.07,0.12
0.570,-0.09,0.10,0.03,0.14
0.580,-0.11,0.12,-0.01,0.16
0.590,-0.09,0.12,0.01,0.16
0.600,-0.09,0.10,-0.04,0.14
0.610,-0.08,0.12,-0.02,0.14
0.620,-0.13,0.16,0.07,0.22
0.630,-0.18,0.18,0.07,0.26
0.640,-0.23,0.14,0.00,0.27
0.650,-0.22,0.08,-0.03,0.24
0.660,-0.24,0.05,-0.07,0.26
0.670,-0.20,0.05,-0.01,0.21
0.680,-0.16,0.01,-0.06,0.17
0.690,-0.15,0.01,-0.18,0.24
0.700,-0.19,0.09,-0.06,0.22
0.710,-0.15,0.12,0.06,0.20
0.720,-0.17,0.14,0.05,0.23
0.730,-0.21,0.12,-0.00,0.24
0.740,-0.16,0.09,0.01,0.19
0.750,-0.20,0.07,0.04,0.21
0.760,-0.12,0.02,-0.06,0.13
0.770,-0.11,-0.03,-0.11,0.16
0.780,-0.08,-0.05,-0.12,0.15
0.790,-0.01,-0.01,-0.17,0.17
0.800,-0.02,0.03,-0.04,0.05
0.810,0.01,0.08,0.06,0.10
0.820,0.04,0.06,0.01,0.08
0.830,-0.04,0.03,-0.01,0.06
0.840,-0.09,0.04,0.07,0.12
0.850,-0.11,0.05,0.06,0.14
0.860,-0.15,0.03,0.03,0.16
