time,ax,ay,az,atotal
0.000,-0.09,-0.01,0.18,0.20
0.010,-0.01,0.12,0.21,0.24
0.020,0.07,0.18,0.18,0.27
0.030,-0.04,0.29,0.09,0.30
0.040,-0.27,0.34,0.05,0.44
0.050,-0.39,0.29,0.04,0.48
0.060,-0.31,0.15,0.04,0.34
0.070,-0.21,0.06,-0.00,0.21
0.080,-0.18,-0.02,-0.01,0.18
0.090,-0.00,-0.39,-0.23,0.45
0.100,-0.02,-0.60,-0.10,0.61
0.110,-0.36,0.03,0.29,0.46
0.120,-0.60,0.16,0.15,0.64
0.130,-0.47,0.47,0.08,0.67
0.140,-0.36,0.54,-0.09,0.65
0.150,-0.18,0.31,-0.01,0.36
0.160,0.09,0.34,-0.09,0.36
0.170,0.09,0.30,-0.10,0.33
0.180,0.05,0.23,-0.09,0.25
0.190,-0.00,0.20,-0.03,0.20
0.200,-0.06,0.15,-0.00,0.16
0.210,-0.11,0.13,0.01,0.17
0.220,-0.15,0.12,0.00,0.19
0.230,-0.17,0.13,0.00,0.21
0.240,-0.15,0.15,-0.01,0.21
0.250,-0.15,0.14,0.00,0.20
0.260,-0.12,0.14,-0.03,0.19
0.270,-0.09,0.13,-0.05,0.17
0.280,-0.08,0.10,-0.07,0.15
0.290,-0.08,0.06,-0.07,0.12
0.300,-0.10,0.04,-0.06,0.13
0.310,-0.09,0.00,-0.03,0.09
0.320,-0.09,0.00,-0.00,0.09
0.330,-0.15,0.03,0.05,0.16
0.340,-0.18,0.02,0.09,0.20
0.350,-0.22,0.02,0.14,0.26
0.360,-0.25,0.00,0.13,0.28
0.370,-0.23,-0.02,0.11,0.25
0.380,-0.19,-0.05,0.11,0.22
0.390,-0.13,-0.09,0.11,0.19
0.400,-0.05,-0.14,0.09,0.17
0.410,-0.03,-0.16,0.11,0.20
0.420,-0.04,-0.11,0.12,0.17
0.430,-0.08,-0.06,0.11,0.15
0.440,-0.14,-0.04,0.11,0.18
0.450,-0.17,0.02,0.12,0.21
0.460,-0.16,0.05,0.11,0.20
0.470,-0.17,0.06,0.10,0.20
0.480,-0.21,0.03,0.08,0.23
0.490,-0.21,0.01,0.08,0.23
0.500,-0.20,-0.01,0.07,0.21
0.510,-0.17,-0.03,0.08,0.19
0.520,-0.11,-0.06,0.10,0.15
0.530,-0.07,-0.06,0.10,0.14
0.540,-0.04,-0.09,0.12,0.16
0.550,-0.09,-0.10,0.09,0.16
0.560,-0.15,-0.08,0.06,0.18
0.570,-0.15,-0.06,0.07,0.17
0.580,-0.14,-0.09,0.08,0.18
0.590,-0.14,-0.11,0.11,0.21
0.600,-0.16,-0.11,0.15,0.25
0.610,-0.18,-0.14,0.14,0.27
0.620,-0.19,-0.21,0.06,0.29
0.630,-0.20,-0.25,0.03,0.33
0.641,-0.18,-0.22,0.00,0.29
0.650,-0.15,-0.22,-0.05,0.27
0.660,-0.10,-0.26,-0.08,0.29
0.671,-0.06,-0.24,-0.08,0.26
0.681,-0.04,-0.22,-0.06,0.23
0.691,-0.02,-0.22,-0.01,0.22
0.701,0.02,-0.27,-0.03,0.27
0.711,0.04,-0.31,-0.00,0.31
0.721,0.01,-0.34,-0.01,0.34
0.730,-0.05,-0.35,-0.03,0.36
0.741,-0.15,-0.36,-0.01,0.39
0.751,-0.20,-0.42,-0.04,0.47
0.761,-0.20,-0.42,-0.04,0.47
0.771,-0.15,-0.41,-0.01,0.44
0.781,-0.10,-0.38,0.02,0.39
0.790,-0.04,-0.36,0.06,0.37
0.800,-0.02,-0.36,0.11,0.38
0.811,-0.04,-0.39,0.16,0.42
0.821,-0.09,-0.46,0.17,0.50
0.831,-0.10,-0.54,0.18,0.58
0.841,-0.13,-0.60,0.22,0.65
0.851,-0.16,-0.64,0.23,0.70
0.861,-0.15,-0.69,0.25,0.75
0.871,-0.12,-0.73,0.28,0.79
0.881,-0.09,-0.74,0.25,0.79
0.891,-0.02,-0.71,0.23,0.75
0.901,0.02,-0.69,0.16,0.71
0.911,-0.01,-0.60,0.06,0.61
0.921,-0.11,-0.52,-0.06,0.53
0.931,-0.17,-0.43,-0.17,0.50
0.941,-0.25,-0.36,-0.28,0.52
0.951,-0.31,-0.25,-0.38,0.55
0.961,-0.33,-0.15,-0.44,0.56
0.971,-0.42,-0.03,-0.45,0.62
0.981,-0.55,0.08,-0.44,0.70
0.991,-0.70,0.18,-0.33,0.80
1.001,-0.82,0.22,-0.18,0.87
1.011,-0.85,0.15,0.01,0.86
1.021,-0.73,-0.01,0.19,0.75
1.031,-0.50,-0.18,0.30,0.61
1.041,-0.14,-0.30,0.35,0.48
1.051,0.29,-0.40,0.29,0.57
1.061,0.67,-0.44,0.23,0.84
1.071,0.96,-0.40,0.25,1.08
1.081,1.16,-0.35,0.31,1.25
1.091,1.13,-0.16,0.44,1.23
1.101,0.77,0.08,0.66,1.02
1.111,0.25,0.22,0.80,0.87
1.121,-0.28,0.30,1.01,1.09
1.131,-0.75,0.22,1.25,1.47
1.141,-1.04,-0.09,1.60,1.90
1.151,-1.10,-0.53,1.64,2.04
1.161,-0.84,-1.02,1.51,2.00
1.171,-0.44,-1.25,1.42,1.94
1.181,0.05,-1.27,1.30,1.81
1.191,0.52,-1.10,1.13,1.66
1.201,0.84,-0.86,1.04,1.59
1.211,0.97,-0.56,0.91,1.45
1.221,0.83,-0.24,0.79,1.18
1.231,0.54,0.11,0.84,1.00
1.241,0.17,0.40,0.86,0.97
1.251,-0.25,0.50,0.78,0.96
1.261,-0.54,0.37,0.74,0.99
1.271,-0.75,0.17,0.71,1.04
1.281,-0.84,-0.02,0.58,1.03
1.291,-0.87,-0.05,0.51,1.01
1.301,-0.92,0.00,0.46,1.03
1.311,-0.88,0.10,0.44,0.99
1.321,-0.85,0.18,0.43,0.97
1.331,-0.87,0.30,0.46,1.03
1.341,-0.88,0.36,0.52,1.08
1.351,-0.89,0.33,0.60,1.12
1.361,-0.87,0.28,0.63,1.11
1.371,-0.81,0.18,0.54,0.99
1.381,-0.69,0.11,0.47,0.84
1.391,-0.59,0.07,0.42,0.73
1.401,-0.64,0.07,0.50,0.82
1.411,-0.77,0.04,0.51,0.92
1.421,-0.84,-0.00,0.50,0.98
1.431,-0.76,-0.08,0.56,0.95
1.441,-0.68,-0.19,0.63,0.95
1.451,-0.59,-0.31,0.72,0.98
1.461,-0.60,-0.34,0.82,1.07
1.471,-0.63,-0.35,0.97,1.21
1.481,-0.71,-0.36,1.11,1.36
1.491,-0.77,-0.39,1.20,1.48
1.501,-0.79,-0.46,1.29,1.58
1.511,-0.74,-0.50,1.33,1.61
1.521,-0.69,-0.57,1.33,1.60
1.531,-0.59,-0.63,1.31,1.57
1.541,-0.44,-0.68,1.32,1.55
1.551,-0.22,-0.72,1.22,1.44
1.561,-0.05,-0.70,1.18,1.37
1.571,0.06,-0.66,1.22,1.38
1.581,0.07,-0.61,1.31,1.45
1.591,0.05,-0.57,1.45,1.56
1.601,-0.05,-0.51,1.59,1.67
1.611,-0.09,-0.43,1.69,1.74
1.621,-0.11,-0.33,1.84,1.87
1.631,-0.16,-0.18,1.95,1.96
1.641,-0.22,0.00,2.00,2.02
1.651,-0.21,0.16,2.06,2.07
1.661,-0.13,0.21,2.16,2.17
1.671,-0.05,0.17,2.30,2.30
1.681,-0.05,0.02,2.45,2.45
1.691,-0.13,-0.15,2.53,2.54
1.701,-0.10,-0.27,2.66,2.68
1.711,-0.03,-0.43,2.67,2.71
1.721,0.08,-0.62,2.58,2.65
1.731,0.55,-0.64,2.21,2.36
1.741,1.30,-0.35,1.38,1.93
1.751,1.83,0.15,0.63,1.94
1.761,1.98,0.72,0.40,2.14
1.771,1.89,1.34,0.06,2.32
1.781,1.67,1.95,-0.60,2.64
1.791,1.37,2.33,-0.83,2.82
1.801,1.14,2.49,-0.96,2.90
1.811,1.24,2.50,-1.22,3.04
1.821,1.34,2.35,-1.43,3.06
1.831,0.79,1.95,-1.53,2.60
1.841,-0.01,1.46,-1.44,2.05
1.851,-0.91,0.95,-1.36,1.89
1.861,-1.76,0.51,-1.33,2.26
1.871,-2.20,0.26,-1.24,2.53
1.881,-2.05,0.14,-1.42,2.50
1.891,-1.47,0.15,-1.73,2.27
1.901,-0.55,0.13,-1.98,2.06
1.911,0.26,0.04,-2.15,2.17
1.921,0.78,-0.09,-2.16,2.30
