time,ax,ay,az,atotal
0.000,-0.09,-0.00,-0.06,0.11
0.010,-0.11,0.01,-0.04,0.12
0.020,-0.09,0.02,-0.04,0.10
0.030,-0.09,0.04,-0.05,0.11
0.040,-0.10,0.06,-0.05,0.12
0.050,-0.11,0.06,-0.06,0.14
0.060,-0.10,0.03,-0.05,0.11
0.070,-0.08,0.02,-0.04,0.09
0.080,-0.07,-0.00,-0.02,0.08
0.090,-0.07,-0.01,-0.04,0.08
0.100,-0.08,-0.03,-0.03,0.09
0.110,-0.09,-0.01,-0.06,0.11
0.120,-0.11,0.01,-0.05,0.12
0.130,-0.15,-0.00,-0.05,0.16
0.140,-0.15,0.02,-0.05,0.15
0.150,-0.12,0.03,-0.05,0.14
0.160,-0.13,0.02,-0.06,0.15
0.170,-0.12,0.02,-0.08,0.15
0.180,-0.10,0.04,-0.08,0.13
0.190,-0.09,0.05,-0.07,0.12
0.200,-0.09,0.05,-0.08,0.13
0.210,-0.09,0.07,-0.09,0.15
0.220,-0.11,0.08,-0.10,0.17
0.230,-0.12,0.09,-0.08,0.16
0.240,-0.11,0.09,-0.05,0.15
0.250,-0.10,0.02,-0.02,0.10
0.260,-0.06,-0.04,-0.03,0.08
0.270,-0.01,-0.05,-0.05,0.07
0.280,0.02,-0.05,-0.02,0.06
0.290,0.03,-0.08,0.01,0.09
0.300,0.02,-0.12,0.04,0.13
0.310,-0.04,-0.16,0.06,0.17
0.320,-0.05,-0.17,0.05,0.18
0.330,-0.03,-0.16,0.04,0.17
0.340,-0.04,-0.15,0.04,0.16
0.350,-0.06,-0.17,0.04,0.19
0.360,-0.08,-0.18,0.01,0.20
0.370,-0.09,-0.19,-0.01,0.21
0.380,-0.13,-0.17,-0.04,0.22
0.390,-0.14,-0.14,-0.07,0.21
0.400,-0.16,-0.11,-0.07,0.21
0.410,-0.13,-0.07,-0.11,0.19
0.420,-0.08,-0.05,-0.15,0.18
0.430,-0.05,-0.03,-0.18,0.19
0.440,-0.03,-0.01,-0.20,0.20
0.450,-0.02,-0.03,-0.16,0.17
0.460,-0.07,-0.04,-0.15,0.17
0.470,-0.13,-0.06,-0.14,0.20
0.480,-0.21,-0.07,-0.12,0.25
