time,ax,ay,az,atotal
0.000,-0.16,-0.36,0.15,0.42
0.010,-0.21,-0.37,0.17,0.46
0.020,-0.27,-0.28,0.15,0.41
0.030,-0.25,-0.26,0.17,0.40
0.040,-0.32,-0.31,0.13,0.46
0.050,-0.32,-0.36,0.13,0.50
0.060,-0.18,-0.36,0.18,0.44
0.070,-0.16,-0.25,0.20,0.36
0.080,-0.18,-0.17,0.19,0.31
0.090,-0.24,-0.18,0.14,0.33
0.100,-0.05,-0.19,0.09,0.22
0.110,0.01,-0.21,0.14,0.25
0.120,-0.08,-0.22,0.09,0.25
0.130,-0.14,-0.23,0.04,0.27
0.140,-0.21,-0.24,0.02,0.31
0.150,-0.23,-0.26,-0.02,0.35
0.160,-0.29,-0.28,-0.02,0.40
0.170,-0.32,-0.27,-0.00,0.42
0.180,-0.24,-0.30,-0.02,0.39
0.190,-0.07,-0.30,-0.04,0.31
0.200,-0.07,-0.25,-0.03,0.26
0.210,-0.15,-0.21,-0.01,0.26
0.220,-0.35,-0.24,-0.01,0.43
0.230,-0.35,-0.23,-0.02,0.42
0.240,-0.28,-0.15,-0.07,0.32
0.250,-0.19,-0.13,-0.07,0.24
0.260,-0.16,-0.13,-0.06,0.21
0.270,-0.13,-0.22,-0.04,0.26
0.280,-0.04,-0.30,-0.06,0.30
0.290,0.04,-0.29,-0.07,0.30
0.300,0.03,-0.17,-0.10,0.20
0.310,-0.04,-0.10,-0.13,0.17
0.320,-0.09,-0.08,-0.13,0.18
0.330,-0.16,-0.06,-0.04,0.17
0.340,-0.09,-0.02,-0.07,0.12
0.350,-0.03,0.02,-0.13,0.13
0.360,-0.00,0.05,-0.15,0.16
0.370,-0.07,0.08,-0.14,0.18
0.380,-0.06,0.04,-0.20,0.21
0.390,0.02,-0.01,-0.21,0.21
0.400,0.04,-0.04,-0.31,0.32
0.410,-0.27,-0.00,-0.21,0.34
0.421,-0.60,0.19,-0.46,0.78
0.430,-0.46,0.42,-0.28,0.68
0.441,-0.06,0.01,-0.30,0.31
0.450,-0.12,-0.06,-0.27,0.31
0.460,-0.10,-0.03,-0.31,0.32
0.470,-0.05,0.00,-0.26,0.27
0.481,-0.01,0.02,-0.27,0.27
0.490,-0.04,0.06,-0.33,0.34
0.500,-0.33,0.18,-0.44,0.58
0.510,-0.63,0.29,-0.50,0.85
0.521,-0.77,0.27,-0.44,0.93
0.530,-0.77,0.18,-0.34,0.87
0.541,-0.60,0.03,-0.23,0.65
0.550,-0.36,-0.06,-0.16,0.40
0.561,-0.14,-0.11,-0.13,0.22
0.571,-0.06,-0.05,-0.21,0.23
0.581,-0.06,-0.01,-0.31,0.32
0.590,-0.07,0.03,-0.21,0.22
0.601,-0.08,0.13,-0.22,0.27
0.611,-0.01,0.24,-0.41,0.48
0.621,0.13,0.31,-0.49,0.59
0.631,0.26,0.49,-0.43,0.70
0.641,0.47,0.67,-0.40,0.91
0.651,0.45,0.77,-0.29,0.93
0.661,0.22,0.81,0.16,0.86
0.671,0.01,0.71,0.62,0.94
0.681,-0.14,0.46,1.04,1.14
0.691,-0.11,0.14,1.34,1.35
0.701,0.02,-0.31,1.52,1.55
0.711,0.25,-0.77,1.72,1.90
0.721,0.60,-1.06,1.82,2.19
0.731,0.97,-1.19,1.85,2.41
0.741,1.10,-1.14,1.67,2.30
0.751,1.10,-0.79,1.31,1.89
0.761,1.03,-0.30,1.20,1.61
0.771,0.62,0.05,1.04,1.21
0.781,-0.02,0.27,0.64,0.69
0.791,-0.38,0.48,0.31,0.69
0.801,-0.63,0.66,0.30,0.96
0.811,-0.83,0.66,0.26,1.10
0.821,-0.88,0.59,0.25,1.09
0.831,-0.90,0.52,0.39,1.11
0.841,-0.89,0.42,0.47,1.09
0.851,-0.87,0.31,0.50,1.05
0.861,-0.89,0.28,0.51,1.06
0.871,-0.90,0.31,0.53,1.09
0.881,-0.97,0.35,0.55,1.17
0.891,-0.95,0.34,0.59,1.17
