time,ax,ay,az,atotal
0.000,0.01,-0.06,-0.11,0.13
0.010,0.05,-0.08,-0.13,0.17
0.020,0.06,0.01,-0.10,0.12
0.030,0.06,-0.01,0.06,0.08
0.040,0.02,0.01,0.00,0.03
0.050,-0.08,0.12,-0.14,0.20
0.060,-0.14,0.16,-0.15,0.26
0.070,-0.16,0.22,-0.09,0.29
0.080,-0.23,0.21,0.05,0.31
0.090,-0.20,0.17,0.05,0.27
0.100,-0.14,0.18,-0.03,0.23
0.110,-0.13,0.11,-0.05,0.18
0.120,-0.16,0.13,-0.11,0.23
0.130,-0.13,0.14,-0.08,0.20
0.140,-0.15,0.07,-0.03,0.17
0.150,-0.25,0.03,-0.17,0.31
0.160,-0.39,0.01,-0.26,0.47
0.170,-0.44,-0.04,-0.15,0.47
0.180,-0.45,-0.06,0.06,0.46
0.190,-0.42,0.00,-0.02,0.42
0.200,-0.30,-0.06,-0.15,0.34
0.210,-0.10,-0.11,-0.07,0.16
0.220,0.02,0.03,0.11,0.11
0.230,-0.18,-0.02,0.21,0.28
0.240,0.04,-0.01,0.02,0.05
0.250,-0.06,-0.03,-0.04,0.08
0.260,-0.05,-0.04,0.03,0.07
0.270,-0.10,0.02,0.11,0.15
0.280,-0.08,0.08,0.24,0.26
0.290,0.10,0.04,0.33,0.34
0.300,0.09,-0.04,0.28,0.30
0.310,0.02,-0.17,0.19,0.26
0.320,-0.03,-0.34,0.03,0.34
0.330,-0.19,-0.43,-0.15,0.49
0.340,-0.36,-0.46,-0.35,0.68
0.350,-0.35,-0.35,-0.41,0.64
0.360,-0.35,-0.15,-0.34,0.51
0.370,-0.44,0.04,-0.29,0.52
0.380,-0.32,0.17,-0.11,0.38
0.390,-0.21,0.29,0.10,0.37
0.400,0.22,0.54,0.20,0.62
0.410,0.13,-0.02,0.34,0.37
0.420,0.20,0.11,-0.07,0.24
0.430,0.14,0.08,-0.07,0.18
0.440,-0.03,-0.18,0.02,0.18
0.450,0.07,-0.30,-0.31,0.44
0.460,0.01,-0.41,-0.27,0.49
0.470,-0.09,-0.43,-0.24,0.50
0.481,-0.12,-0.34,-0.24,0.43
0.490,-0.16,-0.18,-0.23,0.34
0.501,-0.27,-0.01,-0.10,0.29
0.510,-0.27,0.03,0.10,0.29
0.520,-0.23,-0.03,0.11,0.25
0.530,-0.13,0.05,-0.01,0.14
0.540,-0.06,0.08,0.03,0.10
0.550,-0.16,0.10,0.08,0.20
0.560,-0.22,0.09,0.09,0.26
0.570,-0.31,0.08,0.06,0.33
0.580,-0.37,0.06,-0.00,0.38
0.590,-0.28,0.02,-0.02,0.28
0.600,-0.17,-0.02,0.07,0.19
0.610,-0.13,-0.03,0.06,0.15
0.620,-0.08,0.00,0.03,0.09
0.630,-0.04,-0.01,0.03,0.05
0.640,-0.03,-0.05,0.03,0.06
0.650,-0.11,0.05,0.04,0.13
0.661,-0.09,0.07,0.04,0.12
0.671,-0.10,0.11,0.05,0.16
0.681,-0.07,0.04,0.08,0.12
0.690,-0.08,-0.05,0.03,0.10
0.700,-0.09,-0.06,-0.07,0.13
0.710,-0.14,-0.09,-0.10,0.20
0.721,-0.24,-0.12,-0.10,0.28
0.731,-0.24,-0.17,-0.14,0.33
0.741,-0.13,-0.23,-0.23,0.35
0.751,-0.08,-0.19,-0.23,0.31
0.761,-0.02,-0.11,-0.12,0.16
0.771,0.02,-0.01,0.05,0.06
0.781,-0.03,0.07,0.17,0.19
0.791,0.00,0.07,0.16,0.18
0.801,-0.15,0.07,0.12,0.20
0.811,-0.25,0.10,0.18,0.32
0.820,-0.23,0.13,0.30,0.40
0.831,-0.26,0.12,0.29,0.41
0.841,-0.22,0.05,0.17,0.28
0.851,-0.18,0.02,0.06,0.19
0.861,-0.17,0.05,0.04,0.18
0.871,-0.15,0.03,0.10,0.19
0.881,-0.15,0.00,0.01,0.15
0.891,-0.17,-0.03,-0.09,0.20
0.901,-0.18,-0.11,-0.15,0.26
0.911,-0.14,-0.15,-0.18,0.28
0.921,-0.12,-0.05,-0.12,0.18
0.931,-0.17,-0.03,-0.06,0.19
0.941,-0.27,0.02,-0.00,0.27
0.951,-0.27,0.08,0.05,0.28
0.961,-0.19,0.07,0.05,0.21
0.971,-0.13,0.03,0.02,0.13
0.981,0.00,-0.03,-0.02,0.04
0.991,0.10,-0.05,0.03,0.12
1.001,0.03,-0.03,-0.01,0.05
1.011,-0.07,-0.03,-0.15,0.17
1.021,-0.24,-0.04,-0.17,0.30
1.031,-0.25,-0.09,-0.11,0.29
1.041,-0.37,-0.09,-0.09,0.39
1.051,-0.43,-0.09,-0.13,0.46
1.061,-0.46,-0.15,-0.15,0.51
1.071,-0.35,-0.12,-0.14,0.40
1.081,-0.28,-0.06,-0.10,0.31
1.091,-0.26,-0.06,-0.08,0.28
1.101,-0.18,-0.11,-0.15,0.26
1.111,-0.06,-0.12,-0.16,0.21
1.121,0.08,-0.16,-0.11,0.21
1.131,0.10,-0.22,-0.20,0.32
1.141,0.03,-0.23,-0.26,0.35
1.151,0.01,-0.22,-0.26,0.34
1.161,-0.03,-0.19,-0.21,0.28
1.171,-0.01,-0.14,-0.20,0.24
1.181,-0.00,-0.13,-0.15,0.20
1.191,0.19,-0.06,0.11,0.22
1.201,0.19,0.08,0.39,0.44
1.211,0.13,0.13,0.44,0.48
1.221,0.19,0.13,0.33,0.40
1.231,0.28,0.14,0.25,0.40
1.241,0.34,0.15,0.34,0.51
1.251,0.26,0.17,0.39,0.50
1.261,0.01,0.21,0.25,0.33
1.271,-0.11,0.21,0.22,0.32
1.281,-0.19,0.16,0.33,0.41
1.291,-0.12,0.14,0.31,0.36
1.301,-0.10,0.19,0.26,0.33
1.311,-0.27,0.17,0.16,0.36
1.321,-0.21,0.13,0.01,0.25
1.331,-0.08,0.07,0.02,0.10
1.341,0.07,0.03,0.03,0.08
1.351,-0.03,0.04,-0.14,0.15
1.361,-0.10,0.04,-0.26,0.28
1.371,-0.23,0.02,-0.15,0.28
1.381,-0.22,-0.00,-0.01,0.22
1.391,-0.13,0.07,0.01,0.15
1.401,-0.16,0.05,-0.03,0.17
1.411,-0.14,0.00,-0.04,0.15
1.421,-0.11,-0.03,-0.16,0.20
1.431,-0.05,-0.10,-0.23,0.25
1.441,-0.02,-0.15,-0.21,0.25
1.451,-0.10,-0.13,-0.14,0.22
1.461,-0.18,-0.10,-0.11,0.23
1.471,-0.26,-0.06,-0.10,0.29
1.481,-0.27,-0.04,-0.01,0.28
1.491,-0.21,0.04,0.13,0.25
1.501,-0.12,0.06,0.23,0.26
1.511,0.08,0.01,0.17,0.19
1.521,0.07,-0.12,0.01,0.14
1.531,0.05,-0.20,-0.12,0.23
1.541,0.05,-0.16,-0.13,0.21
1.551,0.03,-0.11,-0.06,0.13
1.561,0.08,-0.14,0.06,0.18
1.571,0.05,-0.08,0.08,0.13
1.581,-0.12,-0.10,0.04,0.16
1.591,-0.11,-0.02,0.02,0.12
1.601,-0.08,0.14,0.17,0.24
1.611,-0.06,0.16,0.32,0.36
1.621,-0.00,0.17,0.17,0.24
