time,ax,ay,az,atotal
0.000,-0.02,0.23,-0.10,0.25
0.010,-0.04,-0.00,-0.32,0.32
0.020,-0.05,0.00,-0.45,0.46
0.030,-0.11,0.05,-0.55,0.56
0.040,-0.25,-0.05,-0.59,0.65
0.050,-0.34,-0.05,-0.61,0.70
0.060,-0.43,-0.01,-0.56,0.71
0.070,-0.54,0.00,-0.47,0.71
0.080,-0.48,0.02,-0.40,0.63
0.090,-0.47,0.07,-0.41,0.63
0.100,-0.45,0.04,-0.44,0.63
0.110,-0.37,0.05,-0.47,0.60
0.120,-0.33,0.00,-0.53,0.62
0.130,-0.29,-0.03,-0.60,0.67
0.140,-0.36,-0.05,-0.62,0.72
0.150,-0.53,-0.09,-0.60,0.81
0.160,-0.65,-0.11,-0.51,0.83
0.170,-0.59,-0.11,-0.45,0.75
0.180,-0.47,-0.06,-0.39,0.61
0.190,-0.36,0.02,-0.35,0.51
0.200,-0.30,0.04,-0.24,0.39
0.210,-0.32,0.03,-0.13,0.35
0.220,-0.44,0.02,-0.02,0.44
0.230,-0.50,0.02,0.04,0.50
0.240,-0.49,0.01,0.15,0.51
0.250,-0.46,0.00,0.30,0.55
0.260,-0.39,-0.00,0.41,0.56
0.270,-0.31,-0.01,0.47,0.56
0.280,-0.25,-0.03,0.59,0.64
0.290,-0.18,-0.05,0.67,0.70
0.300,-0.06,-0.04,0.64,0.64
0.310,-0.04,-0.01,0.55,0.55
0.320,-0.00,0.02,0.55,0.55
0.330,0.09,0.04,0.55,0.56
0.340,0.10,0.08,0.46,0.47
0.350,0.09,0.10,0.39,0.41
0.360,0.10,0.11,0.42,0.45
0.370,0.06,0.13,0.49,0.51
0.380,0.02,0.12,0.52,0.54
0.390,0.00,0.08,0.49,0.49
0.400,0.03,0.09,0.40,0.41
0.410,0.05,0.08,0.29,0.30
0.420,0.08,0.05,0.18,0.20
0.430,0.07,0.03,0.14,0.16
0.440,0.07,0.00,0.12,0.13
0.450,0.05,0.00,0.06,0.08
0.460,0.04,-0.01,-0.03,0.05
0.470,0.03,-0.01,-0.08,0.08
0.480,0.04,-0.01,-0.15,0.16
0.490,0.02,-0.02,-0.17,0.17
0.500,-0.07,-0.05,-0.18,0.20
0.510,-0.09,-0.02,-0.24,0.26
0.520,-0.11,0.00,-0.27,0.29
0.530,-0.17,-0.03,-0.26,0.31
0.540,-0.15,-0.02,-0.24,0.28
0.550,-0.13,-0.01,-0.18,0.22
0.560,-0.17,-0.00,-0.20,0.26
0.571,-0.15,-0.02,-0.28,0.32
0.580,-0.15,0.03,-0.28,0.32
0.590,-0.11,0.03,-0.19,0.22
0.600,-0.12,0.02,-0.11,0.17
0.610,-0.15,0.01,-0.12,0.19
0.620,-0.18,-0.01,-0.08,0.20
0.630,-0.16,-0.03,-0.05,0.17
0.641,-0.19,0.00,-0.00,0.19
0.650,-0.25,-0.04,0.10,0.28
0.660,-0.19,-0.05,0.09,0.22
0.670,-0.12,0.04,-0.12,0.17
0.681,-0.07,0.06,-0.22,0.24
0.690,0.01,0.05,-0.14,0.15
0.700,-0.09,0.05,-0.10,0.14
0.711,-0.11,0.09,0.00,0.14
0.720,-0.11,0.06,0.09,0.16
0.731,-0.08,0.08,0.20,0.23
0.741,-0.09,0.11,0.25,0.29
0.751,-0.05,0.11,0.21,0.24
0.761,-0.01,0.14,0.07,0.15
0.771,0.01,0.14,-0.09,0.16
0.781,0.05,0.11,-0.18,0.21
0.791,0.03,0.11,-0.21,0.24
0.801,0.03,0.09,-0.17,0.20
0.811,-0.09,0.00,-0.08,0.12
0.821,-0.13,0.01,0.00,0.13
0.831,-0.18,0.00,0.12,0.21
0.841,-0.14,0.01,0.18,0.23
0.851,-0.14,0.03,0.17,0.22
0.861,0.01,0.05,0.07,0.09
0.871,0.00,0.04,-0.13,0.14
0.881,-0.11,0.00,-0.39,0.41
0.891,0.02,-0.06,-0.60,0.60
0.901,-0.02,-0.06,-0.62,0.62
0.911,-0.12,-0.03,-0.30,0.32
0.921,-0.10,-0.08,0.02,0.13
0.931,-0.22,-0.13,0.11,0.27
0.941,-0.31,-0.15,0.07,0.36
0.951,-0.42,-0.27,-0.04,0.50
0.961,-0.34,-0.23,-0.19,0.46
0.971,-0.27,-0.04,-0.22,0.35
0.981,-0.22,0.02,-0.05,0.22
0.991,-0.16,-0.00,-0.15,0.22
1.001,-0.09,0.01,-0.19,0.21
1.011,0.01,0.04,-0.01,0.04
1.021,0.05,0.05,0.16,0.17
1.031,0.06,0.01,0.28,0.29
1.041,0.03,0.02,0.30,0.30
1.051,0.06,0.06,0.32,0.33
1.061,0.03,-0.03,0.27,0.28
1.071,0.07,-0.01,0.06,0.09
