time,ax,ay,az,atotal
0.000,-0.11,-0.02,0.01,0.12
0.010,-0.04,-0.02,-0.02,0.05
0.020,-0.07,-0.04,0.05,0.09
0.030,-0.10,-0.05,0.06,0.12
0.040,-0.03,-0.13,0.01,0.14
0.050,0.09,-0.09,-0.01,0.13
0.060,0.07,-0.13,0.01,0.15
0.070,0.03,-0.17,-0.00,0.18
0.080,-0.05,-0.18,-0.12,0.22
0.090,-0.12,-0.12,-0.10,0.20
0.100,-0.14,-0.13,-0.06,0.20
0.110,-0.15,-0.13,-0.02,0.20
0.120,-0.16,-0.15,0.04,0.22
0.130,-0.12,-0.17,0.01,0.21
0.140,-0.13,-0.19,-0.04,0.23
0.150,-0.14,-0.16,0.01,0.22
0.160,-0.14,-0.14,0.05,0.21
0.170,-0.16,-0.11,0.06,0.20
0.180,-0.12,-0.06,-0.02,0.14
0.190,-0.11,-0.00,-0.06,0.13
0.200,-0.19,0.03,-0.16,0.25
0.210,-0.24,0.08,-0.27,0.37
0.221,-0.25,0.11,-0.24,0.36
0.230,-0.16,0.10,-0.11,0.22
0.240,0.01,0.09,-0.00,0.09
0.250,0.10,0.06,-0.05,0.13
0.260,0.11,0.06,-0.16,0.20
0.270,0.08,0.13,-0.25,0.29
0.280,0.08,0.17,-0.27,0.32
0.290,0.08,0.20,-0.17,0.28
0.300,0.01,0.19,-0.08,0.21
0.310,-0.08,0.15,0.05,0.18
0.320,-0.16,0.09,0.10,0.21
0.330,-0.30,-0.04,0.20,0.36
0.340,-0.31,-0.09,0.31,0.45
0.350,-0.16,-0.06,0.26,0.31
0.360,-0.02,-0.03,0.23,0.24
0.370,-0.01,-0.03,0.23,0.23
0.380,-0.01,-0.06,0.20,0.21
0.390,-0.09,-0.06,0.24,0.26
0.401,-0.05,-0.06,0.23,0.25
0.410,0.00,-0.04,0.22,0.22
0.420,-0.05,-0.06,0.23,0.24
0.430,-0.13,-0.06,0.14,0.20
0.440,-0.26,-0.00,-0.05,0.27
